None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
1015,AMZN,3/13/2014,376.62,383.11,368.08,371.51,6829000,371.51
1016,AMZN,3/12/2014,366.4,371.16,363.61,370.64,2216600,370.64
1017,AMZN,3/11/2014,370.99,372.8,367.28,368.82,2246100,368.82
1018,AMZN,3/10/2014,372.69,372.73,367,370.53,2105800,370.53
1019,AMZN,3/7/2014,374.58,374.99,369.531,372.06,2279800,372.06
1020,AMZN,3/6/2014,374.05,375.33,368.9,372.16,2926600,372.16
1021,AMZN,3/5/2014,364.13,372.728,363.9,372.37,3848300,372.37
1022,AMZN,3/4/2014,363.9,365.68,362.46,363.9,2704400,363.9
1023,AMZN,3/3/2014,358.735,360.96,354.48,359.78,2798300,359.78
1024,AMZN,2/28/2014,360.6,365.865,357.084,362.1,3882000,362.1
1025,AMZN,2/27/2014,357.22,360.59,355.5,360.13,3104900,360.13
1026,AMZN,2/26/2014,359.86,364.75,357.17,359.8,3622100,359.8
1027,AMZN,2/25/2014,353,361.08,351.58,358.32,3736400,358.32
1028,AMZN,2/24/2014,345.19,353,343.29,351.78,3644700,351.78
1029,AMZN,2/21/2014,352.44,354.141,346.75,346.76,4210000,346.76
1030,AMZN,2/20/2014,348.8,350.46,344.38,349.8,3492800,349.8
1031,AMZN,2/19/2014,352.64,354.54,346.1,347.38,4168100,347.38
1032,AMZN,2/18/2014,355.28,355.73,349.45,353.65,4998000,353.65
1033,AMZN,2/14/2014,359.34,359.34,353.35,357.35,3520200,357.35
1034,AMZN,2/13/2014,347.7,357.2,346.5,357.2,4175000,357.2
1035,AMZN,2/12/2014,356.43,357.75,346.32,349.25,6587700,349.25
1036,AMZN,2/11/2014,361.842,363.61,356.25,361.79,3222100,361.79
1037,AMZN,2/10/2014,361.61,365,359.35,360.87,3449700,360.87
1038,AMZN,2/7/2014,358.98,361.8,352.49,361.08,4330500,361.08
1039,AMZN,2/6/2014,347.403,354.82,347.403,354.59,3335700,354.59
1040,AMZN,2/5/2014,346,349.37,337.73,346.45,4435400,346.45
1041,AMZN,2/4/2014,349.59,353.9975,344.02,347.95,4812900,347.95
1042,AMZN,2/3/2014,358.98,360.85,340.1,346.15,10280800,346.15
1043,AMZN,1/31/2014,371.76,375.45,357.76,358.69,16154800,358.69
1044,AMZN,1/30/2014,393.77,406.25,387.7,403.01,10473900,403.01
1045,AMZN,1/29/2014,392.16,392.85,383.24,384.2,3382300,384.2
1046,AMZN,1/28/2014,387.4,394.74,387.12,394.43,2894500,394.43
1047,AMZN,1/27/2014,390.5,394.1,380.49,386.28,3936800,386.28
1048,AMZN,1/24/2014,398.16,400.2,387.27,387.6,4458400,387.6
1049,AMZN,1/23/2014,401,406.17,397.79,399.87,3025400,399.87
1050,AMZN,1/22/2014,408,408.06,402,404.54,2060500,404.54
1051,AMZN,1/21/2014,403,407.8,401.6,407.05,3122100,407.05
1052,AMZN,1/17/2014,394.26,403.49,393.66,399.61,4505100,399.61
1053,AMZN,1/16/2014,393.68,399.29,389.41,395.8,2601200,395.8
1054,AMZN,1/15/2014,398.94,399.31,392.534,395.87,2678300,395.87
1055,AMZN,1/14/2014,392.13,398.63,391.29,397.54,2340100,397.54
1056,AMZN,1/13/2014,397.98,399.78,388.45,390.98,2844900,390.98
1057,AMZN,1/10/2014,402.53,403.764,393.8,397.66,2679500,397.66
1058,AMZN,1/9/2014,403.71,406.89,398.44,401.01,2103000,401.01
1059,AMZN,1/8/2014,398.47,403,396.04,401.92,2316500,401.92
1060,AMZN,1/7/2014,395.04,398.47,394.29,398.03,1916000,398.03
1061,AMZN,1/6/2014,395.85,397,388.42,393.63,3170600,393.63
1062,AMZN,1/3/2014,398.29,402.71,396.22,396.44,2210200,396.44
1063,AMZN,1/2/2014,398.8,399.36,394.02,397.97,2137800,397.97
1064,AMZN,12/31/2013,394.58,398.83,393.8,398.79,1996500,398.79
1065,AMZN,12/30/2013,399.41,399.92,392.45,393.37,2487100,393.37
1066,AMZN,12/27/2013,404.65,405.63,396.25,398.08,1986900,398.08
1067,AMZN,12/26/2013,401.79,404.52,396.81,404.39,1868500,404.39
1068,AMZN,12/24/2013,402.52,403.7249,396.37,399.2,1380400,399.2
1069,AMZN,12/23/2013,403.69,405,399.2,402.92,2659500,402.92
1070,AMZN,12/20/2013,396.55,404.72,395.78,402.2,5033900,402.2
1071,AMZN,12/19/2013,394.27,397.29,392.6,395.19,2427200,395.19
1072,AMZN,12/18/2013,389.23,396.3,383.1,395.96,3489100,395.96
1073,AMZN,12/17/2013,390.65,391.36,386.5,387.65,2343900,387.65
1074,AMZN,12/16/2013,385.03,391.7,385,388.97,2251700,388.97
1075,AMZN,12/13/2013,385.32,389.42,383.8,384.24,3025000,384.24
1076,AMZN,12/12/2013,381.26,385,379.5,381.25,2123700,381.25
1077,AMZN,12/11/2013,387.34,388.98,382,382.19,2451300,382.19
1078,AMZN,12/10/2013,383.74,389.06,383.02,387.78,2736800,387.78
1079,AMZN,12/9/2013,388.11,388.21,382.57,384.89,2761800,384.89
1080,AMZN,12/6/2013,388.35,388.35,383.83,386.95,1984700,386.95
1081,AMZN,12/5/2013,386.65,386.65,381.371,384.49,1906500,384.49
1082,AMZN,12/4/2013,383.5,389.69,381.4914,385.96,2355300,385.96
1083,AMZN,12/3/2013,390.11,390.949,383.1,384.66,3702900,384.66
